poem_id,kind,poem,phonetic
1,上の句,あきのたのかりほのいほのとまおあらみ,アキノタノカリホノイホノトマオアラミ
1,下の句,わがころもではつゆにぬれつつ,ワガコロモデハツユニヌレツツ
2,上の句,はるすぎてなつきにけらししろたへの,ハルスギテナツキニケラシシロタヘノ
2,下の句,ころもほすてふあまのかぐやま,コロモホステフアマノカグヤマ
3,上の句,あしびきのやまどりのおのしだりおの,アシビキノヤマドリノオノシダリオノ
3,下の句,ながながしよおひとりかもねむ,ナガナガシヨオヒトリカモネム
4,上の句,たごのうらにうちいでてみればしろたへの,タゴノウラニウチイデテミレバシロタヘノ
4,下の句,ふじのたかねにゆきはふりつつ,フジノタカネニユキハフリツツ
5,上の句,おくやまにもみじふみわけなくしかの,オクヤマニモミジフミワケナクシカノ
5,下の句,こえきくときぞあきはかなしき,コエキクトキゾアキハカナシキ
6,上の句,かささぎのわたせるはしにおくしもの,カササギノワタセルハシニオクシモノ
6,下の句,しろきおみればよぞふけにける,シロキオミレバヨゾフケニケル
7,上の句,あまのはらふりさけみればかすがなる,アマノハラフリサケミレバカスガナル
7,下の句,みかさのやまにいでしつきかも,ミカサノヤマニイデシツキカモ
8,上の句,わがいほはみやこのたつみしかぞすむ,ワガイホハミヤコノタツミシカゾスム
8,下の句,よおうじやまとひとはいふなり,ヨオウジヤマトヒトハイフナリ
9,上の句,はなのいろはうつりにけりないたずらに,ハナノイロハウツリニケリナイタズラニ
9,下の句,わがみよにふるながめせしまに,ワガミヨニフルナガメセシマニ
10,上の句,これやこのゆくもかへるもわかれては,コレヤコノユクモカヘルモワカレテハ
10,下の句,しるもしらぬもあふさかのせき,シルモシラヌモアフサカノセキ
11,上の句,わたのはらやそしまかけてこぎいでぬと,ワタノハラヤソシマカケテコギイデヌト
11,下の句,ひとにはつげよあまのつりぶね,ヒトニハツゲヨアマノツリブネ
12,上の句,あまつかぜくものかよひじふきとじよ,アマツカゼクモノカヨヒジフキトジヨ
12,下の句,おとめのすがたしばしとどめむ,オトメノスガタシバシトドメム
13,上の句,つくばねのみねよりおつるみなのがは,ツクバネノミネヨリオツルミナノガハ
13,下の句,こひぞつもりてふちとなりぬる,コヒゾツモリテフチトナリヌル
14,上の句,みちのくのしのぶもじずりたれゆえに,ミチノクノシノブモジズリタレユエニ
14,下の句,みだれそめにしわれならなくに,ミダレソメニシワレナラナクニ
15,上の句,きみがためはるののにいでてわかなつむ,キミガタメハルノノニイデテワカナツム
15,下の句,わがころもでにゆきはふりつつ,ワガコロモデニユキハフリツツ
16,上の句,たちわかれいなばのやまのみねにおふる,タチワカレイナバノヤマノミネニオフル
16,下の句,まつとしきかばいまかへりこむ,マツトシキカバイマカヘリコム
17,上の句,ちはやぶるかみよもきかずたつたがは,チハヤブルカミヨモキカズタツタガハ
17,下の句,からくれないにみずくくるとは,カラクレナイニミズククルトハ
18,上の句,すみのえのきしによるなみよるさへや,スミノエノキシニヨルナミヨルサヘヤ
18,下の句,ゆめのかよひじひとめよくらむ,ユメノカヨヒジヒトメヨクラム
19,上の句,なにはがたみじかきあしのふしのまも,ナニハガタミジカキアシノフシノマモ
19,下の句,あはでこのよおすぐしてよとや,アハデコノヨオスグシテヨトヤ
20,上の句,わびぬればいまはたおなじなにはなる,ワビヌレバイマハタオナジナニハナル
20,下の句,みおつくしてもあはむとぞおもふ,ミオツクシテモアハムトゾオモフ
21,上の句,いまこむといひしばかりにながつきの,イマコムトイヒシバカリニナガツキノ
21,下の句,ありあけのつきおまちいでつるかな,アリアケノツキオマチイデツルカナ
22,上の句,ふくからにあきのくさきのしおるれば,フクカラニアキノクサキノシオルレバ
22,下の句,むべやまかぜおあらしといふらむ,ムベヤマカゼオアラシトイフラム
23,上の句,つきみればちじにものこそかなしけれ,ツキミレバチジニモノコソカナシケレ
23,下の句,わがみひとつのあきにはあらねど,ワガミヒトツノアキニハアラネド
24,上の句,このたびはぬさもとりあへずたむけやま,コノタビハヌサモトリアヘズタムケヤマ
24,下の句,もみじのにしきかみのまにまに,モミジノニシキカミノマニマニ
25,上の句,なにしおはばあふさかやまのさねかずら,ナニシオハバアフサカヤマノサネカズラ
25,下の句,ひとにしられでくるよしもがな,ヒトニシラレデクルヨシモガナ
26,上の句,おぐらやまみねのもみじばこころあらば,オグラヤマミネノモミジバココロアラバ
26,下の句,いまひとたびのみゆきまたなむ,イマヒトタビノミユキマタナム
27,上の句,みかのはらわきてながるるいずみがは,ミカノハラワキテナガルルイズミガハ
27,下の句,いつみきとてかこひしかるらむ,イツミキトテカコヒシカルラム
28,上の句,やまざとはふゆぞさびしさまさりける,ヤマザトハフユゾサビシサマサリケル
28,下の句,ひとめもくさもかれぬとおもへば,ヒトメモクサモカレヌトオモヘバ
29,上の句,こころあてにおらばやおらむはつしもの,ココロアテニオラバヤオラムハツシモノ
29,下の句,おきまどはせるしらぎくのはな,オキマドハセルシラギクノハナ
30,上の句,ありあけのつれなくみえしわかれより,アリアケノツレナクミエシワカレヨリ
30,下の句,あかつきばかりうきものはなし,アカツキバカリウキモノハナシ
31,上の句,あさぼらけありあけのつきとみるまでに,アサボラケアリアケノツキトミルマデニ
31,下の句,よしののさとにふれるしらゆき,ヨシノノサトニフレルシラユキ
32,上の句,やまがはにかぜのかけたるしがらみは,ヤマガハニカゼノカケタルシガラミハ
32,下の句,ながれもあへぬもみじなりけり,ナガレモアヘヌモミジナリケリ
33,上の句,ひさかたのひかりのどけきはるのひに,ヒサカタノヒカリノドケキハルノヒニ
33,下の句,しずごころなくはなのちるらむ,シズゴコロナクハナノチルラム
34,上の句,たれおかもしるひとにせむたかさごの,タレオカモシルヒトニセムタカサゴノ
34,下の句,まつもむかしのともならなくに,マツモムカシノトモナラナクニ
35,上の句,ひとはいさこころもしらずふるさとは,ヒトハイサココロモシラズフルサトハ
35,下の句,はなぞむかしのかににほひける,ハナゾムカシノカニニホヒケル
36,上の句,なつのよはまだよひながらあけぬるお,ナツノヨハマダヨヒナガラアケヌルオ
36,下の句,くものいずこにつきやどるらむ,クモノイズコニツキヤドルラム
37,上の句,しらつゆにかぜのふきしくあきののは,シラツユニカゼノフキシクアキノノハ
37,下の句,つらぬきとめぬたまぞちりける,ツラヌキトメヌタマゾチリケル
38,上の句,わすらるるみおばおもはずちかひてし,ワスラルルミオバオモハズチカヒテシ
38,下の句,ひとのいのちのおしくもあるかな,ヒトノイノチノオシクモアルカナ
39,上の句,あさじふのおののしのはらしのぶれど,アサジフノオノノシノハラシノブレド
39,下の句,あまりてなどかひとのこひしき,アマリテナドカヒトノコヒシキ
40,上の句,しのぶれどいろにいでにけりわがこひは,シノブレドイロニイデニケリワガコヒハ
40,下の句,ものやおもふとひとのとふまで,モノヤオモフトヒトノトフマデ
41,上の句,こひすてふわがなはまだきたちにけり,コヒステフワガナハマダキタチニケリ
41,下の句,ひとしれずこそおもひそめしか,ヒトシレズコソオモヒソメシカ
42,上の句,ちぎりきなかたみにそでおしぼりつつ,チギリキナカタミニソデオシボリツツ
42,下の句,すえのまつやまなみこさじとは,スエノマツヤマナミコサジトハ
43,上の句,あひみてののちのこころにくらぶれば,アヒミテノノチノココロニクラブレバ
43,下の句,むかしはものおおもはざりけり,ムカシハモノオオモハザリケリ
44,上の句,あふことのたえてしなくはなかなかに,アフコトノタエテシナクハナカナカニ
44,下の句,ひとおもみおもうらみざらまし,ヒトオモミオモウラミザラマシ
45,上の句,あはれともいふべきひとはおもほえで,アハレトモイフベキヒトハオモホエデ
45,下の句,みのいたずらになりぬべきかな,ミノイタズラニナリヌベキカナ
46,上の句,ゆらのとおわたるふなびとかじおたえ,ユラノトオワタルフナビトカジオタエ
46,下の句,ゆくへもしらぬこひのみちかな,ユクヘモシラヌコヒノミチカナ
47,上の句,やへむぐらしげれるやどのさびしきに,ヤヘムグラシゲレルヤドノサビシキニ
47,下の句,ひとこそみえねあきはきにけり,ヒトコソミエネアキハキニケリ
48,上の句,かぜおいたみいはうつなみのおのれのみ,カゼオイタミイハウツナミノオノレノミ
48,下の句,くだけてものおおもふころかな,クダケテモノオオモフコロカナ
49,上の句,みかきもりえじのたくひのよるはもえ,ミカキモリエジノタクヒノヨルハモエ
49,下の句,ひるはきえつつものおこそおもへ,ヒルハキエツツモノオコソオモヘ
50,上の句,きみがためおしからざりしいのちさへ,キミガタメオシカラザリシイノチサヘ
50,下の句,ながくもがなとおもひけるかな,ナガクモガナトオモヒケルカナ
51,上の句,かくとだにえやはいぶきのさしもぐさ,カクトダニエヤハイブキノサシモグサ
51,下の句,さしもしらじなもゆるおもひお,サシモシラジナモユルオモヒオ
