id,word,phonetic
0,しりとり,シリトリ
1,代謝物質,タイシヤブツシツ
2,リゾチーム,リゾチーム
3,鳥肌,トリハダ
4,スーパーレンズ,スーパーレンズ
5,時計皿,トケイザラ
6,宇宙論パラメータ,ウチユウロンパラメータ
7,スカラー粒子,スカラーリユウシ
8,トレースクラス,トレースクラス
9,トクビレ,トクビレ
10,無光層,ムコウソウ
11,トルートンの規則,トルートンノキソク
12,スタニウス小体,スタニウスシヨウタイ
13,水生類人猿説,スイセイルイジンエンセツ
14,トワダ湖,トワダコ
15,迎角,ムカエカク
16,トッリチェ,トツリチエ
17,タイガーブッシュ,タイガーブツシユ
18,トラフ,トラフ
19,竜岡,タツオカ
20,クリプトビオシス,クリプトビオシス
21,単層円柱上皮,タンソウエンチユウジヨウヒ
22,六日市,ムイカイチ
23,スピン波,スピンハ
24,トッピング,トツピング
25,太陽光度,タイヨウコウド
26,対数平均温度差,タイスウヘイキンオンドサ
27,トレミーの不等式,トレミーノフトウシキ
28,等密度遠心法,トウミツドエンシンホウ
29,リスト,リスト
30,光伝導アンテナ,ヒカリデンドウアンテナ
